	filename	year	sentnum	sentence
860	FRA03704_Sand.xml	1840	3678	Je vous la donne, je vous la confie; je vous bénis si vous pouvez, si vous devez lui donner du bonheur; mais dites -moi qu'elle n'est pas morte, dites -moi que je ne suis pas son bourreau, son assassin !
861	FRA03704_Sand.xml	1840	1044	Une fois que j'aurais franchi la porte principale, soit que le portier fut prévenu, soit qu'il allât se coucher, j'étais sûr de ne pas pouvoir rentrer passé minuit.
862	FRA03704_Sand.xml	1840	4912	Ce bien-être nouveau éloigna ce que l'idée d'être encore une fois protégée avait eu pour elle de pénible au commencement de son union avec Arsène.
863	FRA03704_Sand.xml	1840	3279	Au milieu d'un débordement inouï d'orgueil et de vanité, il revenait tout à coup à un repentir modeste et ingénu.
864	FRA03704_Sand.xml	1840	47	Ses manières obligeantes, son air ouvert, son regard vif et doux, me gagnèrent à la première vue.
865	FRA03704_Sand.xml	1840	4769	Chez Léonie, c'était à des grands seigneurs sans doute, à des ducs, à des princes peut-être, qu'il succédait; et cette brillante avant-garde, qui avait ouvert et précédé sa marche triomphale, lui paraissait un cortège dont on ne devait pas rougir.
866	FRA03704_Sand.xml	1840	3115	Le saint-simonisme accomplissait une première phase, qui devait laisser une lacune avant la seconde.
867	FRA03704_Sand.xml	1840	284	Je sentais que tout ce bonheur était un don gratuit de la Providence, que je ne l'avais pas mérité assez pour en jouir seul, et que je devais faire profiter quelqu'un de cette sérénité de mon âme, en la posant comme un calmant sur une autre âme irritable ou envenimée.
868	FRA03704_Sand.xml	1840	3291	Quand nous sommes là à nous émouvoir de vos trépignements, de vos déclamations et de vos sanglots, vous vous amusez à nos dépens, j'en suis certain.
869	FRA03704_Sand.xml	1840	1064	dit-elle avec un étonnement si candide que je me sentis pénétré de honte.
320	FRA00801_Dash.xml	1843	755	Voilà un système d'espionnage parfaitement organisé.
321	FRA00801_Dash.xml	1843	747	de Lameth le père, mariée à son sommelier, nommé Joguet parut à la suite.
322	FRA00801_Dash.xml	1843	3290	C'était un honneur sans exemple dans le pays !
323	FRA00801_Dash.xml	1843	502	Son amour-propre était plus flatté par l'un que par l'autre; pour le cœur, je le dis à regret, celui d'Henriette était problématique.
324	FRA00801_Dash.xml	1843	2692	Bien ne vous touche, rien n'arrive jusqu'à votre cœur, froid comme un marbre et dur comme l'acier.
325	FRA00801_Dash.xml	1843	740	Aussitôt qu'il fut sorti de la chambre, Henriette se précipita vers la porte, mit le verrou, et prenant une plume, elle écrivit :
326	FRA00801_Dash.xml	1843	2563	Il eut un long entretien avec le comte de Bussy, avant que les jeunes époux ne fussent sortis de leur appartement.
327	FRA00801_Dash.xml	1843	433	d'Albret comprit très bien celle -ci, et jura qu'à tout prix il serait vainqueur.
328	FRA00801_Dash.xml	1843	3342	Madame de Corcy est tout aussi effrayée que toi, moi seule j'ai de la hardiesse, et je suis sûre que tout ira bien.
329	FRA00801_Dash.xml	1843	1160	Est ce un Lameth qui en fit l'acquisition d'un descendant de Marie de Coucy ?
810	FRA01801_Gay.xml	1844	4330	Ellénore alla tremblante au-devant de lui, préférant connaître tout de suite ce qu'elle avait à redouter.
811	FRA01801_Gay.xml	1844	5248	Il est atteint plus gravement que vous ne le pensez.
812	FRA01801_Gay.xml	1844	911	Mais son esprit abattu par tant d'injures, d'injustice, repousse l'idée de profiter des honteux avantages attachés aux vices qu'on lui prête, à la classe où on la jette.
813	FRA01801_Gay.xml	1844	6529	Voici un quatrain improvisé en rêve, à la dernière séance du lycée républicain, par un des endormis du professeur :
814	FRA01801_Gay.xml	1844	6928	Ces eaux, placées dans un triste hameau, emprisonné par les plus hautes montagnes de la Suisse, n'attiraient que de vrais malades; et la certitude de ne rencontrer ni      , détermina Ellénore à s'y rendre.
815	FRA01801_Gay.xml	1844	1704	Mais cette prospérité inexplicable, loin de le mettre en bonne humeur ne pouvait triompher de la préoccupation pénible empreinte sur son front.
816	FRA01801_Gay.xml	1844	6095	Son ambition dédaignait toute ruse.
817	FRA01801_Gay.xml	1844	626	les croyez -vous donc incapables d'aimer ?
818	FRA01801_Gay.xml	1844	4903	Le ministre de la guerre venait d'envoyer au jeune de Ségur l'ordre de rejoindre l'armée d'Italie; il partit.
819	FRA01801_Gay.xml	1844	4056	Ellénore se croyait de bonne foi à l'abri de la séduction d'un homme dont les défauts, les désagréments lui étaient antipathiques, et pourtant une voix intérieure lui disait qu'il pouvait être dangereux pour elle.
470	FRA01203_Feval.xml	1845	227	On eût dit que le petit homme se voyait déjà dans l'avenir propriétaire et seigneur de toutes ces belles choses.
471	FRA01203_Feval.xml	1845	2827	Les morts ne reviennent point pour toucher leurs créances, et vous avez beau jeu, monsieur.
472	FRA01203_Feval.xml	1845	3584	Pelo Rouan gisait à terre en proie à une furieuse attaque d'épilepsie.
473	FRA01203_Feval.xml	1845	2108	murmura la vieille femme de charge en le suivant du regard pendant qu'il traversait les corridors; il y avait longtemps que mon pauvre cœur n'avait ressentit pareille joie.
474	FRA01203_Feval.xml	1845	4652	Plût au ciel qu'il vécût encore, car Didier n'est pas hors de péril.
475	FRA01203_Feval.xml	1845	4263	Lapierre recula étonné.
476	FRA01203_Feval.xml	1845	2327	Un bruit de voix s'y joignit et bientôt, au tournant de l'allée, débouchèrent MM.
477	FRA01203_Feval.xml	1845	1884	dit-il en reprenant son patelin sourire, je crois que je me suis fâché, mes dignes amis.
478	FRA01203_Feval.xml	1845	4172	s'écria-t-il d'une voix brève et coupée; c'est de Didier qu'elle parle; Pelo Rouan le déteste; elle veut le sauver parce qu'il veut le tuer.
479	FRA01203_Feval.xml	1845	3378	Son esprit vacillant s'affermit.
680	FRA04901_Dumas.xml	1845	8185	Sire, continua Marie en s'adressant au roi de Navarre, vous saurez que Charles ne veut être servi que par moi.
681	FRA04901_Dumas.xml	1845	3483	Mon assassin est le premier homme à qui j'aie parlé dans cette ville, et Votre Majesté est la première femme qui m'y ait adressé la parole.
682	FRA04901_Dumas.xml	1845	7710	– Qu'est -ce cela, dit Catherine, et pourquoi ne lisez -vous plus, Carlotta ?
683	FRA04901_Dumas.xml	1845	10581	C'était, on le sait, la question habituelle.
684	FRA04901_Dumas.xml	1845	5286	– On frappe, madame, dit Dariole en passant la tête par l'ouverture de la portière.
685	FRA04901_Dumas.xml	1845	6528	– Jurez... – Que je jure ?
686	FRA04901_Dumas.xml	1845	13740	– N'importe, dit le prêtre, demandez toujours la force à celui qui a souffert ce que vous allez souffrir.
687	FRA04901_Dumas.xml	1845	14183	Parfois j'ai résisté; mais parfois aussi j'ai cédé de fatigue.
688	FRA04901_Dumas.xml	1845	13933	– Maître, dit Marguerite avec une hésitation douloureuse et en regardant autour d'elle, maître, maître, nous faudrait-il encore aller ailleurs ?
689	FRA04901_Dumas.xml	1845	14273	Le roi leur déclara sa volonté.
170	FRA06201_Viel-Castel.xml	1845	532	quoique Guicharde crût aimer Guillaume, quoiqu'elle eût reçu l'aveu de son amour, quand elle eut à choisir entre le vicomte de Comborn et l'écuyer Guillaume, lequel des deux crois -tu qu'elle choisit ?
171	FRA06201_Viel-Castel.xml	1845	953	... Lorsque j'ai fui les cloîtres de mon couvent, j'ai juré une haine implacable, non-seulement à toi et au vicomte Archambaud, mais aussi à mon pays et à toute créature humaine, parce que j'étais obligé de me mettre en dehors de la loi commune pour accomplir ma vengeance, parce que tu avais fait de moi un apostat.
